email,firstName,lastName,phoneNumber,address,secondTypePass
gal@gmail.com,gal,harmon,052-5940219,hamamchihim 152 kefar warburg,harmonG123
tal@gmail.com,tal,harmon,052-5940220,hamamchihim 152 kefar warburg,harmonT123
mika@gmail.com,mika,harmon,052-5940221,hamamchihim 152 kefar warburg,harmonM123
alon@gmail.com,alon,harmon,052-5940222,hamamchihim 152 kefar warburg,harmonA123
sharon@gmail.com,sharon,harmon,052-5940223,hamamchihim 152 kefar warburg,harmonS123
shira@gmail.com,shira,harmon,052-5940224,hamamchihim 152 kefar warburg,harmonS123
arnon@gmail.com,arnon,harmon,052-5940225,hamamchihim 152 kefar warburg,harmonA123
noam@gmail.com,noam,Aloni,052-5940226,katlav 25 Gedera,aloniN123
adi@gmail.com,adi,Lebel,052-5940227,katlav 25 Gedera,lebelA123
guy@gmail.com,guy,Lebel,052-5940228,katlav 25 Gedera,lebelG123
sapir@gmail.com,sapir,Lebel,052-5940229,katlav 25 Gedera,lebelS123
amit@gmail.com,amit,Lebel,052-5940230,katlav 25 Gedera,lebelA123
omri@gmail.com,omri,Lebel,052-5940231,katlav 25 Gedera,lebelO123
yakir@gmail.com,yakir,Cohen,052-5940232,habrosh 55 Tel aviv,cohenY123
lev@gmail.com,lev,Cohen,052-5940233,habrosh 55 Tel aviv,cohenL123
